,size,cuda-1,cuda-2,cuda-4,cuda-8,cuda-16,cuda-32,omp-target-1,omp-target-2,omp-target-4,omp-target-8,omp-target-16,omp-target-32
150,212927.0,926.15,342.072,124.366,88.6342,76.0823,51.5711,306.415,226.482,102.207,77.2557,67.3627,50.6937
151,228209.0,958.98,338.661,124.353,87.7298,77.1504,51.7839,321.738,235.733,102.89,76.366,68.9485,51.1429
152,244589.0,1009.59,326.877,123.547,87.9344,77.437,51.8937,336.485,214.539,103.831,77.0391,69.648,51.129
153,262144.0,1047.02,327.17,125.463,87.4423,78.2335,51.8607,357.266,215.445,105.799,77.5203,70.1165,52.5456
154,280958.0,973.584,306.397,125.849,86.444,78.0402,53.3025,368.34,214.037,107.636,78.5523,69.7708,50.5819
155,301124.0,973.901,300.733,127.552,86.6834,76.6381,52.9569,381.435,208.129,108.884,80.324,70.4991,52.6369
156,322737.0,1047.78,282.211,127.468,87.1054,78.5807,53.0161,401.62,197.832,110.395,81.3654,72.4217,55.4856
157,345901.0,1076.8,271.732,127.9,88.6495,78.7296,52.0485,424.77,191.829,111.835,83.0259,73.5642,53.5385
158,370727.0,1094.05,258.77,126.245,89.4336,79.7572,54.0643,446.125,193.653,112.191,82.9414,74.0198,53.3051
159,397336.0,1106.84,244.407,127.284,88.9964,79.9727,52.7899,449.253,196.775,114.179,82.7334,73.6898,53.8721
160,425854.0,1084.36,244.041,127.496,89.3847,81.6322,54.9492,458.589,203.885,116.022,83.4675,76.0212,53.6917
161,456419.0,1054.88,244.819,128.541,89.5696,81.4585,52.5114,461.259,206.763,117.225,84.8688,74.9843,55.4587
162,489178.0,1006.89,243.188,130.225,89.962,81.5384,54.0374,472.47,206.936,118.351,85.6479,76.5969,55.5909
163,524288.0,929.929,247.093,129.782,90.6007,82.5294,54.0075,462.779,208.592,119.278,86.244,77.823,55.2586
164,561917.0,856.613,250.808,130.827,90.9017,83.1325,54.8879,456.229,215.858,120.625,86.3198,77.6092,56.9625
165,602248.0,785.34,250.156,130.731,91.3481,83.3998,54.2764,457.223,217.399,122.105,87.2198,78.2891,57.463
166,645474.0,718.116,250.614,130.93,91.7792,83.6534,55.1069,470.304,217.899,122.424,87.8528,79.2377,55.2955
167,691802.0,658.855,251.723,131.791,92.5971,82.5624,54.7857,464.521,222.794,123.485,88.3373,80.7353,55.1206
168,741455.0,661.438,254.36,131.853,92.117,81.6015,53.7432,490.898,228.151,124.693,89.0981,80.834,60.1694
169,794672.0,652.661,256.032,132.46,92.0456,81.5791,54.3615,504.488,229.078,125.439,89.0744,80.6491,54.755
170,851708.0,657.912,258.32,133.042,92.1254,83.1099,52.8681,516.204,234.696,126.133,89.6412,81.1189,54.4193
171,912838.0,665.01,258.528,133.144,92.7167,82.0769,54.0647,522.181,232.856,126.603,90.0103,81.5337,60.848
172,978356.0,671.072,260.617,133.794,92.0297,82.3354,54.8193,534.294,236.914,127.486,90.331,81.1561,58.9476
173,1048576.0,675.659,261.668,133.966,92.9943,82.4311,56.8808,552.425,237.576,128.097,90.6953,83.1048,59.1592
174,1123835.0,679.858,260.695,134.028,92.9266,82.8309,58.168,556.69,240.646,129.046,91.1563,81.8483,58.9095
175,1204497.0,691.43,263.816,134.444,92.5744,82.4371,56.9641,568.124,242.498,129.236,91.0806,83.2664,56.196
176,1290948.0,693.336,262.598,134.611,93.0995,83.1355,54.7701,583.357,243.264,130.336,91.8843,83.2439,58.0973
177,1383604.0,694.92,264.203,134.946,92.475,80.9922,56.0753,590.719,246.578,130.68,91.9896,83.0098,58.4738
178,1482910.0,699.977,264.808,135.155,92.9769,81.2358,56.3094,600.726,249.52,130.937,92.3267,83.4849,63.1038
179,1589344.0,707.655,265.805,135.372,92.3997,83.0109,57.3083,606.798,248.599,131.664,92.5813,83.9361,62.1872
