,size,cuda-1,cuda-2,cuda-4,cuda-8,cuda-16,cuda-32,cuda-64,omp-target-1,omp-target-2,omp-target-4,omp-target-8,omp-target-16,omp-target-32,omp-target-64
30,51.0,38.2803,38.2822,38.1385,19.0557,9.54759,5.45271,2.93528,38.2026,38.1975,38.1978,38.1892,38.1867,38.1883,38.1696
31,55.0,41.284,41.2861,41.1297,20.5705,10.2963,5.87724,2.93942,41.1981,41.1949,41.1936,41.185,41.181,41.1839,41.1655
32,59.0,44.2867,44.2879,44.1209,22.0607,11.0343,5.51927,2.94299,44.1948,44.1442,44.1894,44.1814,44.1767,44.1796,44.176
33,64.0,48.04,48.0421,47.8602,23.9367,11.9687,5.98415,2.99289,47.9385,47.936,47.9347,47.9224,47.9108,47.9251,47.909
34,68.0,51.0426,50.8509,25.4813,16.9783,10.1823,5.65417,2.99289,50.9336,50.9315,50.9293,50.9167,50.9174,50.919,50.9113
35,73.0,54.7964,54.5896,27.3547,18.2266,10.9227,5.46275,2.87532,54.6807,54.6758,54.6705,54.6627,54.6642,54.6595,54.659
36,78.0,58.5518,58.3282,29.2286,19.4751,11.6708,5.83469,2.91862,58.4274,58.4134,58.4171,58.4028,58.4064,58.4075,58.4072
37,84.0,63.0556,62.8163,31.4767,20.9465,10.4809,5.71422,2.99291,62.8573,62.914,62.9103,62.8958,62.8973,62.8966,62.8894
38,90.0,67.5597,67.3033,33.7247,22.4298,11.2223,5.6121,2.92834,67.4094,67.4095,67.4052,67.3895,67.3865,67.3906,67.3821
39,97.0,72.8137,72.537,36.2787,18.1585,10.3729,5.58319,2.90357,72.6484,72.6514,72.6297,72.6346,72.6288,72.6266,72.6197
40,103.0,77.3173,77.0231,38.5229,19.281,11.0145,5.92685,2.96414,77.1445,77.1356,77.1253,77.1262,77.1225,77.117,77.1055
41,111.0,83.3238,83.0061,41.5148,20.7782,11.8638,5.93095,2.9662,83.1359,83.1378,83.1116,83.1139,83.1014,83.1085,83.0975
42,119.0,89.33,88.9888,44.5069,22.2535,11.1344,5.93458,2.96798,89.0838,89.1294,89.0995,89.1054,89.0958,89.0995,89.0917
43,128.0,96.085,95.72,47.8728,23.9359,11.9708,5.98453,2.99293,95.8708,95.869,95.8393,95.8371,95.8316,95.8353,95.8271
44,137.0,102.449,51.3367,34.2056,20.5109,11.3889,5.69478,2.92911,102.612,102.528,102.517,102.584,102.573,102.556,102.534
45,147.0,109.927,55.0838,36.7022,21.9906,11.0025,5.78862,2.9727,110.097,110.096,110.057,110.065,110.063,110.05,109.995
46,157.0,117.405,58.8311,39.1983,23.4866,11.7464,5.87213,2.93709,117.591,117.578,117.469,117.548,117.55,117.509,117.515
47,168.0,125.631,62.9531,41.889,20.9572,11.4307,5.98434,2.99293,125.83,125.824,125.781,125.72,125.774,125.748,125.77
48,181.0,135.351,67.8245,45.1085,22.565,11.2886,5.88686,2.94438,135.555,135.556,135.442,135.523,135.503,135.486,135.48
49,194.0,145.071,72.5571,36.3114,20.7425,11.1686,5.80587,2.96263,145.3,145.251,145.245,145.258,145.232,145.232,145.212
50,207.0,154.797,77.4193,38.7441,22.1322,11.9134,5.95574,2.97855,155.042,154.995,154.98,154.986,154.988,154.952,154.895
51,222.0,166.013,83.0265,41.5509,23.7232,11.8641,5.93117,2.96643,166.263,166.227,166.209,166.213,166.215,166.199,166.196
52,238.0,177.972,89.0114,44.4832,22.265,11.8693,5.93456,2.9682,178.257,178.209,178.196,178.196,178.207,178.191,178.143
53,256.0,191.434,95.7408,47.8689,23.9373,11.9694,5.98443,2.99295,191.737,191.694,191.677,191.66,191.682,191.668,191.669
54,274.0,204.891,102.664,68.3965,40.9895,22.7758,11.3892,5.85811,205.203,205.167,205.155,205.15,205.155,205.142,205.089
55,294.0,219.845,110.153,73.2689,43.9828,22.0031,11.575,5.94531,220.179,220.143,220.118,220.118,220.093,220.117,220.014
56,315.0,235.545,118.019,78.5311,47.1161,23.5607,11.7817,5.89223,235.908,235.853,235.837,235.851,235.809,235.849,235.848
57,337.0,251.992,126.019,84.0158,42.0075,22.9198,11.4609,5.86448,252.398,252.331,252.32,252.339,252.318,251.31,251.338
58,362.0,270.685,135.369,90.2481,45.1299,22.5676,11.7736,5.88866,271.121,271.058,271.027,271.061,271.008,269.818,269.953
59,388.0,290.127,145.091,72.6206,41.4839,22.3327,11.6113,5.9247,290.523,290.523,290.503,290.481,290.5,288.298,289.326
60,415.0,310.314,155.186,77.6741,44.3469,23.8793,11.9403,5.97112,310.742,310.749,310.721,310.698,310.68,308.318,309.433
61,445.0,332.738,166.404,83.1773,47.5521,23.7768,11.8889,5.94571,333.187,333.191,333.179,333.142,333.176,330.606,331.772
62,477.0,356.657,178.367,89.1943,44.6,23.7881,11.8942,5.94838,357.128,357.137,357.156,357.098,357.131,354.321,355.647
63,512.0,382.813,191.455,95.7403,47.8724,23.9379,11.971,5.98553,383.327,383.362,383.375,383.364,383.366,380.385,381.726
64,548.0,408.954,204.916,136.533,68.3161,34.1606,17.8262,8.91322,410.219,410.313,410.324,410.316,410.354,407.13,408.617
65,588.0,438.812,219.87,110.057,62.866,33.8344,17.5979,8.97805,440.163,440.27,440.273,440.272,440.305,436.904,438.446
66,630.0,470.14,235.574,117.767,67.32,33.6705,17.4583,8.89397,471.636,471.728,471.725,471.756,471.752,468.129,469.72
67,675.0,504.656,252.4,126.219,63.1428,33.6698,17.4177,8.86054,505.324,505.432,505.418,505.395,503.382,497.467,497.56
68,724.0,541.296,270.719,135.38,67.6943,33.8565,17.4765,8.88056,542.023,542.101,542.089,542.094,539.616,533.551,533.666
69,776.0,580.162,290.162,145.241,82.9659,44.6645,23.2245,11.8489,580.97,581.04,581.032,580.968,575.603,571.84,571.983
70,831.0,621.291,310.725,155.325,88.7979,47.8159,23.9038,11.9531,622.19,622.15,622.248,622.165,616.369,612.362,612.499
71,891.0,666.141,333.11,166.606,95.1992,47.6051,23.8014,11.904,667.074,667.099,667.154,667.146,660.844,656.616,656.713
72,955.0,713.993,357.094,178.573,89.2848,47.6232,23.8084,11.9084,714.438,714.963,715.111,715.045,708.254,703.776,703.924
73,1024.0,765.585,382.894,191.476,95.7443,47.8741,23.9295,11.9666,766.693,766.738,766.772,766.74,759.45,744.375,742.495
74,1097.0,820.147,410.187,205.123,117.22,58.613,29.3127,14.9172,821.421,821.352,821.444,821.361,813.653,797.307,795.365
75,1176.0,879.206,439.727,219.895,109.955,58.6454,29.3288,14.9068,880.572,880.586,880.581,880.338,872.024,854.711,852.474
76,1260.0,942.018,471.138,235.501,117.809,58.9072,29.4598,14.9552,943.415,943.438,943.468,943.514,934.542,915.826,913.561
